cityCode,population,cityName,longitude,latitude,radius,countryCode,countryName
38185,158454,Grenoble,5.72115622480579,45.1822964978694,,,France
38421,38487,Saint-Martin-d'Hères,5.76515011269447,45.1758941443281,,,France
38151,36840,Échirolles,5.71546120290339,45.1470030310839,,,France
38544,29306,Vienne,4.88079910846572,45.5209039561134,,,France
38053,28387,Bourgoin-Jallieu,5.27373710303637,45.6024679134736,,,France
38169,22523,Fontaine,5.6777777010617,45.1926695136908,,,France
38563,20108,Voiron,5.58254465965048,45.3790617553211,,,France
38553,18763,Villefontaine,5.15474023735464,45.6136620612635,,,France
38229,17129,Meylan,5.78417311913933,45.2121919037726,,,France
38193,16124,L'Isle-d'Abeau,5.22284204266721,45.6180814638543,,,France
38382,15838,Saint-Égrève,5.68429103769622,45.2323757706544,,,France
38485,12013,Seyssinet-Pariset,5.66922878514507,45.17300480651,,,France
38474,11376,Sassenage,5.65193841344548,45.2128699724074,,,France
38317,10435,Le Pont-de-Claix,5.70172406144642,45.1259184204289,,,France
38158,10185,Eybens,5.74852082358706,45.1513077677906,,,France
38085,9661,Charvieu-Chavagneux,5.15137232031968,45.7397220050254,,,France
38565,9293,Voreppe,5.64286283135139,45.2900009127463,,,France
38545,8532,Vif,5.67420919761497,45.0432783071771,,,France
38344,8455,Roussillon,4.81885293113364,45.3788935270743,,,France
38524,8250,Varces-Allières-et-Risset,5.67691318183496,45.0913295845702,,,France
38140,8247,Crolles,5.8893621377973,45.2821318914425,,,France
38509,8080,La Tour-du-Pin,5.44509359590039,45.5733434213725,,,France
38111,7932,Claix,5.65617372142308,45.122429097665,,,France
38416,7903,Saint-Marcellin,5.31718600363056,45.152746469093,,,France
38239,7852,Moirans,5.56191344111191,45.3184446596904,,,France
38022,7739,Les Avenières Veyrins-Thuellin,5.55788132235203,45.6391162640192,,,France
38486,7685,Seyssins,5.6755144543214,45.1552098784701,,,France
38517,7680,Tullins,5.4904830810837,45.2936376656209,,,France
38562,7361,Vizille,5.77943753620228,45.074532544806,,,France
38314,7344,Pontcharra,6.02102323238719,45.4196763033554,,,France
38507,7249,Tignieu-Jameyzieu,5.18419000440534,45.7350913018062,,,France
38537,7226,La Verpillière,5.14878643885369,45.6376539858776,,,France
38547,7107,Villard-Bonnot,5.88928245215902,45.2453169394444,,,France
38397,6966,Saint-Ismier,5.82843713509457,45.2514792577278,,,France
38179,6779,Gières,5.79137731791282,45.183318962246,,,France
38150,6745,Domène,5.83673314805534,45.2040475891215,,,France
38298,6680,Le Péage-de-Roussillon,4.78325064944031,45.3683822365502,,,France
38516,6596,La Tronche,5.7436881926015,45.2106666812791,,,France
38337,6476,Rives,5.48684337475865,45.3606414563796,,,France
38001,6311,Les Abrets en Dauphiné,5.58787160629205,45.5338447435499,,,France
38425,6141,Saint-Maurice-l'Exil,4.77724657362707,45.3923525541764,,,France
38449,6103,Saint-Quentin-Fallavier,5.10855491033523,45.6396439557619,,,France
38087,6048,Chasse-sur-Rhône,4.81433246514849,45.5796147677296,,,France
38423,5778,Saint-Martin-le-Vinoux,5.71591450444517,45.2195404230077,,,France
38316,5772,Pont-de-Chéruy,5.17267045474859,45.7524770695049,,,France
38422,5451,Saint-Martin-d'Uriage,5.85684171126383,45.1533168404838,,,France
38318,5210,Pont-Évêque,4.92400794543322,45.5343389875925,,,France
38249,5134,Montbonnot-Saint-Martin,5.8154522434662,45.2212333227664,,,France
